"No.","Time","Source","Destination","Protocol","Length","Info"
"2163","4.661508225","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=215 Ack=102555 Win=9617 Len=0 TSval=2474327659 TSecr=519151198"
"2164","4.670528786","10.76.105.1","10.244.105.1","MAVLink 2.0","118","ACTUATOR_CONTROL_TARGET"
"2165","4.670608777","10.76.105.1","10.244.105.1","MAVLink 2.0","110","ATTITUDE_TARGET"
"2166","4.670637435","10.76.105.1","10.244.105.1","MAVLink 2.0","102","SCALED_IMU"
"2167","4.670812678","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=215 Ack=102687 Win=9617 Len=0 TSval=2474327668 TSecr=519151202"
"2168","4.679753348","10.76.105.1","10.244.105.1","MAVLink 2.0","106","ATTITUDE"
"2169","4.679787151","10.76.105.1","10.244.105.1","MAVLink 2.0","110","ATTITUDE_QUATERNION"
"2170","4.679814457","10.76.105.1","10.244.105.1","MAVLink 2.0","140","HIGHRES_IMU"
"2171","4.679897366","10.76.105.1","10.244.105.1","MAVLink 2.0","120","RC_CHANNELS"
"2172","4.679920383","10.76.105.1","10.244.105.1","MAVLink 2.0","123","GPS_RAW_INT"
"2173","4.679988464","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=215 Ack=102956 Win=9617 Len=0 TSval=2474327678 TSecr=519151218"
"2174","4.735352958","10.76.105.1","10.244.105.1","MAVLink 2.0","310","ODOMETRY"
"2175","4.735397495","10.76.105.1","10.244.105.1","MAVLink 2.0","118","ACTUATOR_CONTROL_TARGET"
"2176","4.735407120","10.76.105.1","10.244.105.1","MAVLink 2.0","106","ATTITUDE"
"2177","4.735547680","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=215 Ack=103292 Win=9617 Len=0 TSval=2474327733 TSecr=519151238"
"2178","4.744765360","10.76.105.1","10.244.105.1","MAVLink 2.0","110","ATTITUDE_QUATERNION"
"2179","4.744803383","10.76.105.1","10.244.105.1","MAVLink 2.0","140","HIGHRES_IMU"
"2180","4.744819277","10.76.105.1","10.244.105.1","MAVLink 2.0","99","SERVO_OUTPUT_RAW"
"2181","4.744833079","10.76.105.1","10.244.105.1","MAVLink 2.0","79","MISSION_CURRENT"
"2182","4.744846494","10.76.105.1","10.244.105.1","MAVLink 2.0","102","SCALED_IMU"
"2183","4.744859039","10.76.105.1","10.244.105.1","MAVLink 2.0","90","SERVO_OUTPUT_RAW"
"2184","4.744872302","10.76.105.1","10.244.105.1","MAVLink 2.0","95","VFR_HUD"
"2185","4.744884577","10.76.105.1","10.244.105.1","MAVLink 2.0","79","CURRENT_EVENT_SEQUENCE"
"2186","4.744900445","10.76.105.1","10.244.105.1","MAVLink 2.0","106","ATTITUDE"
"2187","4.744912829","10.76.105.1","10.244.105.1","MAVLink 2.0","110","ATTITUDE_QUATERNION"
"2188","4.744925018","10.76.105.1","10.244.105.1","MAVLink 2.0","140","HIGHRES_IMU"
"2189","4.744937746","10.76.105.1","10.244.105.1","MAVLink 2.0","310","ODOMETRY"
"2190","4.744950250","10.76.105.1","10.244.105.1","MAVLink 2.0","118","ACTUATOR_CONTROL_TARGET"
"2191","4.744962637","10.76.105.1","10.244.105.1","MAVLink 2.0","92","TIMESYNC"
"2192","4.744975655","10.76.105.1","10.244.105.1","MAVLink 2.0","110","ALTITUDE"
"2193","4.744988165","10.76.105.1","10.244.105.1","MAVLink 2.0","106","ATTITUDE"
"2194","4.745000718","10.76.105.1","10.244.105.1","MAVLink 2.0","110","ATTITUDE_QUATERNION"
"2195","4.745102273","10.76.105.1","10.244.105.1","MAVLink 2.0","139","HIGHRES_IMU"
"2196","4.745116963","10.76.105.1","10.244.105.1","MAVLink 2.0","102","SCALED_IMU"
"2197","4.745129877","10.76.105.1","10.244.105.1","MAVLink 2.0","99","SERVO_OUTPUT_RAW"
"2198","4.746259278","10.244.105.1","10.76.105.1","TCP","66","36286  >  5760 [ACK] Seq=215 Ack=104308 Win=9617 Len=0 TSval=2474327744 TSecr=519151239"
"2199","4.753553225","10.76.105.1","10.244.105.1","MAVLink 2.0","106","ATTITUDE"
